Title,Rating (Rotten Tomato)(Audience Rating),Category - Need to Decide,Length,NumTitle,Liked,,,,,
Harry Potter and the Phil Stone,82,2624,152,6,N,,Horror -> ,,,1
Harry Potter and the Chamber of Secrets,82,2560,161,7,Y,,Comedy -> ,,,2
Shooter,80,1280,125,1,Y,,Classic -> ,,,3
Annabelle: Creation,68,257,109,2,N,,Thriller -> ,,,4
Starwars Han,64,832,135,5,N,,TV -> ,,,5
Transformers (latest),44,832,154,4,N,,Romance -> ,,,6
American Sniper,84,320,134,2,Y,,Action and Adventure -> ,,,7
Johnny English,50,2,88,2,Y,,Reality -> ,,,8
Johnny English 2,44,1026,101,3,Y,,Drama -> ,,,9
,,,,,,,Science Fiction and Fantasy -> ,,,10
,,9.666666667,,,,,Myster and Suspense -> ,,,11
,,11,,,,,Kids and Family -> ,,,12
,,9,,,,,,,,
,,5,,,,,,,,
